,2026-07-31,2026-04-30,2026-01-31,2025-10-31,2025-07-31
Tax Effect Of Unusual Items,1282215000.0,0.0,0.0,0.0,343791000.0
Tax Rate For Calcs,0.165,0.165687,0.147585,0.158846,0.153304
Normalized EBITDA,65090000000.0,71002000000.0,51283000000.0,38748000000.0,29690000000.0
Total Unusual Items,7771000000.0,,,,2247000000.0
Total Unusual Items Excluding Goodwill,7771000000.0,,,,2247000000.0
Net Income From Continuing Operation Net Minority Interest,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Reconciled Depreciation,1127000000.0,997000000.0,812000000.0,751000000.0,669000000.0
Reconciled Cost Of Revenue,24079000000.0,20458000000.0,17034000000.0,15157000000.0,12890000000.0
EBITDA,72861000000.0,71002000000.0,51283000000.0,38748000000.0,31937000000.0
EBIT,71734000000.0,70005000000.0,50471000000.0,37997000000.0,31268000000.0
Net Interest Income,269000000.0,438000000.0,495000000.0,563000000.0,530000000.0
Interest Expense,227000000.0,102000000.0,73000000.0,61000000.0,62000000.0
Interest Income,496000000.0,540000000.0,568000000.0,624000000.0,592000000.0
Normalized Income,53199215000.0,58321000000.0,42960000000.0,31910000000.0,24518791000.0
Net Income From Continuing And Discontinued Operation,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Total Expenses,32487000000.0,28079000000.0,23828000000.0,20996000000.0,18303000000.0
Total Operating Income As Reported,63734000000.0,53536000000.0,44299000000.0,36010000000.0,28440000000.0
Diluted Average Shares,24285000000.0,24391000000.0,24432000000.0,24483000000.0,24532000000.0
Basic Average Shares,24190000000.0,24286000000.0,24304000000.0,24327000000.0,24366000000.0
Diluted EPS,2.46,2.39,1.76,1.3,1.08
Basic EPS,2.47,2.4,1.77,1.31,1.08
Diluted NI Availto Com Stockholders,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Net Income Common Stockholders,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Net Income,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Net Income Including Noncontrolling Interests,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Net Income Continuous Operations,59688000000.0,58321000000.0,42960000000.0,31910000000.0,26422000000.0
Tax Provision,11819000000.0,11582000000.0,7438000000.0,6026000000.0,4784000000.0
Pretax Income,71507000000.0,69903000000.0,50398000000.0,37936000000.0,31206000000.0
Other Income Expense,7504000000.0,15929000000.0,5604000000.0,1363000000.0,2236000000.0
Other Non Operating Income Expenses,-267000000.0,15929000000.0,5604000000.0,1363000000.0,-11000000.0
Gain On Sale Of Security,7771000000.0,,,,2247000000.0
Net Non Operating Interest Income Expense,269000000.0,438000000.0,495000000.0,563000000.0,530000000.0
Interest Expense Non Operating,227000000.0,102000000.0,73000000.0,61000000.0,62000000.0
Interest Income Non Operating,496000000.0,540000000.0,568000000.0,624000000.0,592000000.0
Operating Income,63734000000.0,53536000000.0,44299000000.0,36010000000.0,28440000000.0
Operating Expense,8408000000.0,7621000000.0,6794000000.0,5839000000.0,5413000000.0
Research And Development,7054000000.0,6321000000.0,5512000000.0,4705000000.0,4291000000.0
Selling General And Administration,1354000000.0,1300000000.0,1282000000.0,1134000000.0,1122000000.0
Gross Profit,72142000000.0,61157000000.0,51093000000.0,41849000000.0,33853000000.0
Cost Of Revenue,24079000000.0,20458000000.0,17034000000.0,15157000000.0,12890000000.0
Total Revenue,96221000000.0,81615000000.0,68127000000.0,57006000000.0,46743000000.0
Operating Revenue,96221000000.0,81615000000.0,68127000000.0,57006000000.0,46743000000.0
